onset	duration	trial_type	response_time	texture	color	shape	task	response	probe_pic
0.0002916090888902	3	Stay	1.324162137170788	Filled	blue	Polygon	Scene	2.0	Scene
4.5636665365309455	3	Stay	0.8787823765305802	Filled	blue	Polygon	Scene	1.0	Face
9.065545634599404	3	Stay	0.8737454634392634	Filled	blue	Polygon	Scene	1.0	Face
13.60732641321374	3	EDS	1.2662256066105329	Donut	blue	Polygon	Face	1.0	Scene
18.105762021965347	3	Stay	1.2965404384885917	Donut	blue	Polygon	Face	2.0	Face
25.603054613049608	3	IDS	1.0418511946918445	Donut	blue	Circle	Scene	1.0	Face
34.61661748238839	3	EDS	1.2492587066954002	Filled	blue	Circle	Scene	1.0	Face
42.12490556389093	3	Stay	0.9587685948936268	Filled	blue	Circle	Scene	1.0	Face
51.15023352787829	3	EDS	1.0140857766964473	Donut	red	Circle	Scene	2.0	Scene
55.66443046246423	3	EDS	1.003454075776972	Filled	blue	Polygon	Scene	1.0	Face
64.66678611200769	3	IDS	0.9814916461473332	Filled	red	Polygon	Face	2.0	Face
73.67992103140568	3	EDS	0.9688953533768654	Donut	blue	Circle	Scene	2.0	Scene
79.69273194071137	3	Stay	0.728092989011202	Donut	blue	Circle	Scene	2.0	Scene
85.71291905170074	3	Stay	0.8426000750041567	Donut	blue	Circle	Scene	1.0	Face
99.2319976311992	3	Stay	1.0185147698502988	Donut	blue	Circle	Scene	2.0	Scene
103.76232834282564	3	EDS	2.24697812483646	Filled	blue	Circle	Scene	1.0	Face
109.76405457872896	3	EDS	1.123567498521879	Donut	red	Polygon	Face	1.0	Scene
115.80149859475203	3	Stay	0.8019406599341892	Donut	red	Polygon	Face	1.0	Scene
124.83769661560656	3	EDS	2.0642675592098385	Filled	blue	Polygon	Scene	1.0	Scene
129.37495055637555	3	IDS	1.0907924356288277	Filled	red	Polygon	Face	2.0	Face
138.40556758386083	3	IDS	1.0177150103263557	Filled	blue	Polygon	Scene	1.0	Face
144.43582787946795	3	Stay	1.147153186495416	Filled	blue	Circle	Scene	2.0	Scene
154.94625121948775	3	EDS	1.5277800144976936	Donut	red	Circle	Scene	1.0	Face
159.46569166367408	3	Stay	1.3941139880334958	Donut	red	Circle	Scene	2.0	Scene
170.00001347367652	3	EDS	0.9979122201912104	Filled	red	Polygon	Face	2.0	Face
174.52423579338935	3	EDS	1.7542790984152816	Donut	red	Circle	Scene	1.0	Face
183.54640514031053	3	EDS	2.0288776386878453	Filled	blue	Polygon	Scene	2.0	Scene
189.5818216873449	3	IDS	0.7987714564078487	Filled	red	Polygon	Face	2.0	Face
194.09860653214847	3	Stay	0.7674547597416677	Filled	red	Polygon	Face	1.0	Scene
207.62487204012	3	EDS	1.2844930381397717	Donut	red	Circle	Scene	1.0	Scene
215.1618581112125	3	IDS	1.2759016382624395	Donut	red	Polygon	Face	1.0	Scene
222.6935958606191	3	Stay	0.9202030548476614	Donut	red	Polygon	Face	2.0	Face
233.2290353450225	3	Stay	0.7010128041729331	Donut	red	Polygon	Face	2.0	Face
239.27379300631583	3	IDS	0.9750053493771702	Donut	red	Circle	Scene	1.0	Face
243.81579513836184	3	EDS	1.200733225152362	Filled	blue	Circle	Scene	2.0	Scene
255.8469106922276	3	EDS	0.9194190145935864	Donut	blue	Circle	Scene	2.0	Scene
260.38493359560385	3	EDS	1.0521823040908205	Filled	red	Polygon	Face	1.0	Scene
264.918406884186	3	Stay	1.7244226926122792	Filled	red	Circle	Face	1.0	Scene
270.95399634353817	3	Stay	0.96951835101936	Filled	red	Polygon	Face	1.0	Scene
284.48902744689263	3	EDS	1.966928195150104	Donut	blue	Circle	Scene	1.0	Face
289.0417604077374	3	IDS	1.5647373737883754	Donut	blue	Polygon	Face	1.0	Scene
293.5905369168031	3	Stay	0.7799175987602212	Donut	blue	Polygon	Face	2.0	Face
307.14269917079946	3	IDS	1.1291905169491656	Donut	blue	Circle	Scene	1.0	Face
316.1798422744613	3	Stay	1.3152079102001153	Donut	red	Circle	Scene	1.0	Face
322.2070825395058	3	EDS	0.7351076467894018	Filled	red	Polygon	Face	1.0	Scene
331.24282085098093	3	IDS	1.6844831574126151	Filled	blue	Polygon	Scene	1.0	Face
335.79160538013093	3	Stay	1.1618414294789543	Filled	blue	Polygon	Scene	1.0	Face
347.83500251988886	3	Stay	0.6795011014910415	Filled	blue	Polygon	Scene	1.0	Face
352.37703801540187	3	EDS	1.1987920519313775	Donut	blue	Polygon	Face	1.0	Scene
359.9249785143184	3	EDS	2.3384837033809163	Filled	blue	Polygon	Scene	2.0	Scene
367.460183492396	3	IDS	0.6583570379298179	Filled	red	Polygon	Face	2.0	Face
