onset	duration	trial_type	response_time	texture	color	shape	task	response	probe_pic
0.0003021955490112	3	Stay	1.1333202018286102	Filled	red	Circle	Face	1.0	Scene
4.521987612533849	3	Stay	0.9553443537442944	Filled	red	Circle	Face	1.0	Scene
9.047765180584976	3	Stay	0.7083033517119475	Filled	red	Circle	Face	1.0	Scene
13.553895226679742	3	IDS	1.1654950440861285	Filled	blue	Circle	Scene	2.0	Scene
18.064094967674464	3	Stay	1.6745171207585372	Filled	blue	Circle	Scene	1.0	Face
28.58485872036545	3	Stay	1.6211561898817308	Filled	blue	Circle	Scene	2.0	Scene
33.103103856148664	3	Stay	1.3362210865016095	Filled	blue	Polygon	Scene	2.0	Scene
39.101112637785256	3	IDS	0.8894381376449019	Filled	red	Polygon	Face	2.0	Face
48.11200354679022	3	IDS	1.2614501471980477	Filled	blue	Polygon	Scene	1.0	Face
54.11761084594764	3	IDS	1.167123756138608	Filled	red	Polygon	Face	1.0	Scene
64.62159921746934	3	IDS	0.9608262192923576	Filled	blue	Polygon	Scene	1.0	Face
72.13865449844161	3	IDS	0.9611556829768232	Filled	red	Polygon	Face	2.0	Face
76.65761534357443	3	IDS	1.3687093523913063	Filled	blue	Circle	Scene	2.0	Scene
87.15521365898893	3	IDS	1.1939476200495849	Filled	red	Circle	Face	1.0	Scene
93.16930360608968	3	IDS	1.6835797788226046	Filled	blue	Polygon	Scene	2.0	Scene
106.70661593286783	3	IDS	0.8306623888784088	Filled	red	Circle	Face	1.0	Scene
111.24166018911636	3	Stay	1.953185676713474	Filled	red	Circle	Face	1.0	Scene
115.75771456764778	3	IDS	1.051926624844782	Filled	blue	Circle	Scene	2.0	Scene
123.30799756321358	3	EDS	1.3248637313372456	Donut	blue	Polygon	Face	1.0	Scene
135.3443720251671	3	Stay	0.7609841822413728	Donut	red	Polygon	Face	2.0	Face
144.35879400238628	3	Stay	0.8105622152215801	Donut	red	Polygon	Face	2.0	Face
153.3913550903671	3	IDS	0.8461994740646333	Donut	blue	Circle	Scene	1.0	Face
159.39464587782274	3	Stay	0.856976819166448	Donut	blue	Circle	Scene	2.0	Scene
169.92123154626458	3	Stay	1.0046336648520082	Donut	blue	Circle	Scene	2.0	Scene
175.95793611352562	3	Stay	0.7515189175028354	Donut	red	Circle	Scene	1.0	Face
189.4960337637458	3	Stay	0.9324499942013064	Donut	blue	Circle	Scene	2.0	Scene
194.02080208854755	3	IDS	1.6561605063034222	Donut	blue	Polygon	Face	1.0	Scene
201.557561994181	3	IDS	0.4169368087314069	Donut	red	Circle	Scene	1.0	Face
206.0931092680549	3	Stay	0.6867759297019802	Donut	red	Circle	Scene	1.0	Face
210.6365729742684	3	IDS	0.9271859532454982	Donut	blue	Polygon	Face	2.0	Face
222.6652555653709	3	IDS	1.683036019327119	Donut	blue	Circle	Scene	1.0	Face
227.19788963574683	3	IDS	1.4175408789888024	Donut	blue	Polygon	Face	2.0	Face
236.23090979142583	3	IDS	1.3599341328954324	Donut	blue	Circle	Scene	2.0	Scene
243.7641075110296	3	EDS	1.068813965888694	Filled	blue	Circle	Scene	1.0	Face
252.7931105833268	3	IDS	0.8072130417567678	Filled	red	Polygon	Face	2.0	Face
257.3408544306294	3	Stay	1.1183698636014014	Filled	red	Circle	Face	1.0	Scene
263.37269692192785	3	EDS	1.7120429413043894	Donut	blue	Circle	Scene	2.0	Scene
275.40085628483206	3	Stay	1.7149397838511504	Donut	red	Circle	Scene	1.0	Face
281.4415436096606	3	IDS	n/a	Donut	red	Polygon	Face	n/a	Scene
290.4995048420388	3	EDS	1.2503195990575475	Filled	blue	Polygon	Scene	1.0	Face
296.5468042180292	3	Stay	1.0505946547491476	Filled	blue	Circle	Scene	1.0	Face
302.59292015526444	3	IDS	0.9678549923701212	Filled	red	Polygon	Face	1.0	Scene
307.1438040130306	3	Stay	0.749547588871792	Filled	red	Circle	Face	1.0	Scene
311.6920688428217	3	Stay	0.8115942354197614	Filled	red	Circle	Face	1.0	Scene
319.22457202599617	3	Stay	1.6838883903692476	Filled	red	Circle	Face	2.0	Face
325.28584778518416	3	Stay	1.2162526662577875	Filled	red	Polygon	Face	1.0	Scene
334.3318386095925	3	Stay	0.825989265285898	Filled	red	Polygon	Face	1.0	Scene
338.8840624575969	3	IDS	1.1832934630219825	Filled	blue	Polygon	Scene	1.0	Face
352.43114994384814	3	IDS	2.116656780592166	Filled	red	Circle	Face	2.0	Face
356.98118367616564	3	IDS	0.780204716604203	Filled	blue	Polygon	Scene	2.0	Scene
367.5255350416992	3	IDS	1.0007936643087303	Filled	red	Circle	Face	1.0	Scene
