onset	duration	trial_type	response_time	texture	color	shape	task	response	probe_pic
0.0034012999967671	3	Stay	0.8847288999822922	Filled	red	Circle	Face	1.0	Scene
4.551610700029414	3	Stay	0.8220473999972455	Filled	red	Circle	Face	1.0	Scene
9.0488791000098	3	Stay	0.6276693999534473	Filled	red	Circle	Face	2.0	Face
13.552846800012048	3	IDS	0.7737605000147596	Filled	blue	Circle	Scene	1.0	Face
22.576804000011183	3	Stay	1.8517058999859728	Filled	blue	Polygon	Scene	1.0	Face
27.127915500022937	3	EDS	1.9289554000133649	Donut	blue	Polygon	Face	1.0	Scene
36.42142730002524	3	Stay	1.7644093999988402	Donut	red	Polygon	Face	2.0	Face
45.444135800004005	3	IDS	0.8437933000386693	Donut	blue	Circle	Scene	2.0	Scene
49.950000800017726	3	Stay	0.6472513999906369	Donut	blue	Circle	Scene	1.0	Face
55.96359570004279	3	EDS	1.1092465999536216	Filled	blue	Circle	Scene	1.0	Face
61.96001350000734	3	EDS	1.005875900038518	Donut	blue	Polygon	Face	2.0	Face
72.47904780000681	3	IDS	1.307908500020858	Donut	blue	Circle	Scene	2.0	Scene
78.50174870004413	3	Stay	1.336499500030186	Donut	blue	Circle	Scene	1.0	Face
89.01501850003841	3	IDS	0.7864748999709263	Donut	blue	Polygon	Face	2.0	Face
93.54180050001014	3	Stay	0.6592403000104241	Donut	red	Polygon	Face	2.0	Face
98.05250460002571	3	EDS	0.7004755999660119	Filled	red	Circle	Face	2.0	Face
105.58971550001296	3	IDS	1.0429622000083327	Filled	blue	Polygon	Scene	1.0	Face
116.1079970000428	3	Stay	1.2266531999921426	Filled	blue	Circle	Scene	2.0	Scene
120.6209975000238	3	EDS	1.0479195000370964	Donut	blue	Polygon	Face	2.0	Face
125.1639655000181	3	IDS	1.0647480000043288	Donut	blue	Circle	Scene	1.0	Face
132.68994579999708	3	Stay	0.8149761999957263	Donut	blue	Circle	Scene	2.0	Scene
140.2218278000364	3	Stay	1.4582041000248864	Donut	red	Circle	Scene	1.0	Face
146.25398630002746	3	IDS	1.3706337999901734	Donut	red	Polygon	Face	1.0	Scene
159.77618250000523	3	Stay	0.7809531000093557	Donut	red	Polygon	Face	2.0	Face
164.30873180000344	3	IDS	0.9789302000426688	Donut	red	Circle	Scene	1.0	Face
174.8276523000095	3	IDS	0.7616932000382803	Donut	red	Polygon	Face	1.0	Scene
179.35016810003438	3	EDS	1.5799058999982662	Filled	red	Circle	Face	1.0	Scene
189.87447620002783	3	Stay	1.1871156000415797	Filled	red	Circle	Face	2.0	Face
197.4042938000057	3	Stay	1.1530020000063814	Filled	red	Circle	Face	2.0	Scene
206.4501890999964	3	IDS	1.5655086999759078	Filled	blue	Polygon	Scene	1.0	Face
216.97188670001927	3	Stay	1.4577697000349872	Filled	blue	Polygon	Scene	2.0	Scene
221.509866300039	3	Stay	1.0573163999943065	Filled	blue	Polygon	Scene	1.0	Face
226.0519540000241	3	EDS	1.1289978999993764	Donut	blue	Polygon	Face	1.0	Scene
239.58142630005025	3	Stay	1.0441380999982357	Donut	blue	Polygon	Face	2.0	Face
248.60645820002537	3	Stay	0.9526167000294664	Donut	red	Polygon	Face	1.0	Scene
254.6318747000187	3	Stay	1.4445113000110723	Donut	blue	Polygon	Face	1.0	Scene
263.64136589999544	3	EDS	0.8518705000169575	Filled	red	Circle	Face	2.0	Face
271.1683750000084	3	Stay	0.7329096999601461	Filled	red	Circle	Face	1.0	Scene
275.6992728000041	3	EDS	1.8693575999932364	Donut	blue	Circle	Scene	2.0	Scene
287.725373400026	3	IDS	1.2449664999730885	Donut	blue	Polygon	Face	1.0	Scene
293.75356959999766	3	IDS	1.0373847999726422	Donut	blue	Circle	Scene	1.0	Face
305.7958473000326	3	Stay	1.274295799958054	Donut	blue	Circle	Scene	2.0	Scene
310.34949799999595	3	Stay	0.8390897000208497	Donut	blue	Circle	Scene	1.0	Face
317.90378880000213	3	EDS	1.5404278000351042	Filled	blue	Circle	Scene	2.0	Scene
323.96211399999453	3	IDS	0.7623746999888681	Filled	red	Circle	Face	1.0	Scene
330.0178035999997	3	EDS	0.9571282000397332	Donut	blue	Circle	Scene	2.0	Scene
340.5743057000218	3	EDS	0.8127862999681383	Filled	red	Circle	Face	2.0	Face
345.1058475000318	3	Stay	0.5433920999639668	Filled	red	Circle	Face	2.0	Face
355.62863500003004	3	IDS	1.1644550999626515	Filled	blue	Polygon	Scene	1.0	Face
366.1787146000423	3	Stay	1.2823542000260204	Filled	blue	Polygon	Scene	2.0	Scene
370.72582450002665	3	Stay	1.6021212000050582	Filled	blue	Circle	Scene	1.0	Face
