onset	duration	trial_type	response_time	texture	color	shape	task	response	probe_pic
0.0003006999904755	3	Stay	1.2010039000015242	Filled	red	Circle	Scene	2.0	Scene
4.530398699993384	3	Stay	1.0053442000062205	Filled	blue	Circle	Scene	2.0	Face
9.04486329999054	3	Stay	1.0231048999994528	Filled	blue	Circle	Scene	1.0	Scene
13.589116599992847	3	EDS	1.4453551000042353	Donut	blue	Circle	Scene	2.0	Face
22.598066399994423	3	Stay	1.4532840000028957	Donut	blue	Circle	Scene	1.0	Scene
27.114286700001685	3	IDS	1.1358342000021366	Donut	red	Circle	Face	2.0	Scene
36.13216829999874	3	Stay	1.501576800001203	Donut	red	Polygon	Face	2.0	Scene
45.14772690000245	3	Stay	0.5875514999934239	Donut	red	Polygon	Face	1.0	Face
49.66676409999491	3	Stay	0.8513180999871109	Donut	red	Polygon	Face	2.0	Scene
55.68446740000218	3	Stay	0.5671489000087604	Donut	red	Polygon	Face	1.0	Face
61.70202949999657	3	IDS	1.2481391000037547	Donut	blue	Polygon	Scene	2.0	Face
72.22353740000108	3	EDS	1.6950297000003047	Filled	blue	Circle	Scene	2.0	Scene
78.23598499999207	3	Stay	1.5155150000064168	Filled	blue	Circle	Scene	2.0	Face
88.75289609999163	3	IDS	1.0817459999962011	Filled	blue	Polygon	Face	1.0	Face
93.2697010999982	3	IDS	1.165049600007478	Filled	red	Circle	Scene	2.0	Face
97.78507030000036	3	Stay	2.083688800004893	Filled	red	Circle	Scene	1.0	Scene
105.30367870000192	3	Stay	0.7978567999962252	Filled	red	Circle	Scene	2.0	Face
115.82135289999133	3	EDS	1.1631409999972675	Donut	blue	Polygon	Scene	1.0	Scene
120.33867670000473	3	Stay	0.6952824000036344	Donut	blue	Polygon	Scene	1.0	Scene
124.85644419999151	3	IDS	1.3950928999984171	Donut	red	Circle	Face	1.0	Face
132.37465280000472	3	Stay	0.8599134999967646	Donut	red	Polygon	Face	2.0	Scene
139.89074269999398	3	EDS	1.3434642999927746	Filled	red	Polygon	Face	1.0	Scene
145.9084273999906	3	EDS	0.7091287000075681	Donut	red	Polygon	Face	2.0	Scene
159.42533990000084	3	IDS	1.1428529000113483	Donut	blue	Circle	Scene	2.0	Face
163.94232809999085	3	Stay	1.8921551999956137	Donut	blue	Polygon	Scene	1.0	Scene
174.45933009999862	3	Stay	1.0420101999916371	Donut	blue	Polygon	Scene	2.0	Face
178.97628950000217	3	Stay	1.525179600008414	Donut	blue	Polygon	Scene	2.0	Face
189.4947534999956	3	Stay	1.1564193999947747	Donut	blue	Polygon	Scene	1.0	Scene
197.0288386000029	3	Stay	2.1553783000126714	Donut	blue	Polygon	Scene	1.0	Scene
206.0620740000013	3	Stay	1.7558695000043372	Donut	blue	Circle	Scene	2.0	Face
216.59746469999664	3	Stay	1.0704237000027206	Donut	blue	Polygon	Scene	2.0	Face
221.12888859999657	3	EDS	1.256402700004401	Filled	red	Polygon	Face	2.0	Scene
225.6636279999948	3	Stay	1.1210046999913177	Filled	blue	Polygon	Face	1.0	Face
239.19819579999603	3	Stay	0.7852538000006462	Filled	blue	Polygon	Face	1.0	Face
248.23055539999044	3	Stay	0.7210047999978997	Filled	red	Polygon	Face	1.0	Face
254.26556529999644	3	IDS	0.9854546999995364	Filled	blue	Circle	Scene	2.0	Face
263.3003896000009	3	IDS	0.9001290000014706	Filled	red	Polygon	Face	2.0	Scene
270.8345251999999	3	EDS	1.4166632999986175	Donut	blue	Circle	Scene	2.0	Face
275.3684234999964	3	EDS	1.99997250000888	Filled	blue	Polygon	Face	1.0	Scene
287.4033985999995	3	Stay	1.1149057000002358	Filled	blue	Polygon	Face	1.0	Face
293.4383006999997	3	IDS	1.9630668999889167	Filled	red	Circle	Scene	1.0	Scene
305.4702588999935	3	IDS	0.8479695999994874	Filled	blue	Polygon	Face	2.0	Scene
310.00234959999216	3	Stay	0.9318449000129476	Filled	red	Polygon	Face	1.0	Face
317.5401696999906	3	EDS	0.6442100999993272	Donut	red	Circle	Face	1.0	Face
323.5710443999997	3	Stay	0.8969369999977062	Donut	red	Polygon	Face	1.0	Face
329.6095216999965	3	EDS	1.0582512999972096	Filled	blue	Polygon	Face	2.0	Scene
340.1394728000014	3	IDS	0.8284837000101106	Filled	blue	Circle	Scene	2.0	Face
344.67639069999865	3	IDS	0.8083551000017906	Filled	red	Polygon	Face	1.0	Face
355.22618569999764	3	Stay	0.7414696999912849	Filled	blue	Polygon	Face	2.0	Scene
365.7763705999969	3	EDS	0.6746461000002455	Donut	red	Polygon	Face	2.0	Scene
370.3260726000008	3	EDS	1.1578963000065414	Filled	blue	Polygon	Face	2.0	Scene
