onset	duration	trial_type	response_time	texture	color	shape	task	response	probe_pic
0.0002702999918255	3	Stay	1.2331543999898713	Filled	red	Circle	Face	1.0	Face
4.510765699989861	3	IDS	1.138411099993391	Filled	blue	Circle	Scene	2.0	Scene
9.02674410000327	3	IDS	0.8390360999910627	Filled	red	Circle	Face	2.0	Face
13.543768700008512	3	IDS	0.7718988999840803	Filled	blue	Circle	Scene	1.0	Face
22.56169909998425	3	IDS	1.120165200001793	Filled	red	Circle	Face	1.0	Scene
27.101904699986328	3	EDS	1.1303680000128224	Donut	red	Polygon	Face	2.0	Face
36.113118199980825	3	IDS	1.5003473999968264	Donut	blue	Circle	Scene	2.0	Scene
45.12964679999277	3	EDS	1.4187941000272986	Filled	red	Circle	Face	1.0	Scene
49.646882200002445	3	IDS	1.4856041999883018	Filled	blue	Polygon	Scene	2.0	Scene
55.6645426999894	3	IDS	2.3514894999971148	Filled	red	Polygon	Face	2.0	Face
61.68189390000772	3	IDS	0.9334772999864072	Filled	blue	Polygon	Scene	2.0	Scene
72.19973110000137	3	Stay	0.8657905999862123	Filled	blue	Polygon	Scene	2.0	Scene
78.21650340000633	3	Stay	0.9663274000049568	Filled	blue	Polygon	Scene	2.0	Scene
88.73236090000137	3	IDS	1.301359400007641	Filled	red	Circle	Face	2.0	Face
93.25108570000155	3	EDS	1.2471172000223305	Donut	blue	Polygon	Face	1.0	Face
97.7682830999838	3	IDS	1.2625578999868594	Donut	red	Circle	Scene	1.0	Face
105.28582269998152	3	Stay	1.279748800006928	Donut	red	Circle	Scene	2.0	Scene
115.80436009998084	3	EDS	1.728363599977456	Filled	blue	Polygon	Scene	2.0	Scene
120.3194894999906	3	Stay	0.8798734000010882	Filled	blue	Polygon	Scene	2.0	Scene
124.8373200999922	3	IDS	1.528537399979541	Filled	red	Circle	Face	1.0	Scene
132.35553219998835	3	IDS	1.3770949999743607	Filled	blue	Circle	Scene	1.0	Face
139.87151799999992	3	Stay	1.4780163999821525	Filled	blue	Polygon	Scene	2.0	Scene
145.8892705999897	3	IDS	1.760193399997661	Filled	red	Circle	Face	2.0	Face
159.40671239999938	3	EDS	1.2424172000028193	Donut	blue	Polygon	Face	2.0	Face
163.9246955999988	3	IDS	1.4411059000121895	Donut	blue	Circle	Scene	2.0	Scene
174.4587133000023	3	Stay	n/a	Donut	blue	Circle	Scene	n/a	Scene
178.99038169998676	3	EDS	0.7422386000107508	Filled	blue	Polygon	Scene	2.0	Scene
189.50944329999044	3	EDS	1.3232287999999244	Donut	red	Circle	Scene	1.0	Face
197.0433827000088	3	IDS	1.4550427999929525	Donut	red	Polygon	Face	1.0	Scene
206.07848070000185	3	EDS	1.9856362999998964	Filled	red	Polygon	Face	2.0	Face
216.6115931999812	3	EDS	1.637496600014856	Donut	red	Polygon	Face	2.0	Face
221.1437418999849	3	Stay	0.8883856000029482	Donut	blue	Polygon	Face	2.0	Face
225.67754249999416	3	EDS	1.4378385999880263	Filled	blue	Circle	Scene	1.0	Face
239.214287299983	3	Stay	1.8182159999851135	Filled	blue	Circle	Scene	1.0	Face
248.24658800000907	3	EDS	2.052318899979582	Donut	red	Circle	Scene	1.0	Face
254.2814811999852	3	Stay	1.0011965000012424	Donut	red	Circle	Scene	1.0	Face
263.31427209998947	3	Stay	2.2179908999823965	Donut	red	Circle	Scene	1.0	Face
270.84948149998667	3	IDS	0.7657810999953654	Donut	blue	Polygon	Face	2.0	Face
275.38142099999817	3	IDS	1.583893300005002	Donut	red	Circle	Scene	2.0	Scene
287.41620199999306	3	IDS	1.2669274999934714	Donut	red	Polygon	Face	1.0	Scene
293.4494825000002	3	Stay	1.7323441999906208	Donut	blue	Polygon	Face	2.0	Face
305.4857834999857	3	Stay	1.3135284000018146	Donut	blue	Polygon	Face	1.0	Scene
310.0209927999822	3	IDS	1.1780784000002311	Donut	blue	Circle	Scene	1.0	Face
317.5535823999963	3	EDS	2.0119184000068344	Filled	red	Polygon	Face	1.0	Scene
323.5874230999907	3	Stay	0.8614485000143759	Filled	red	Polygon	Face	1.0	Scene
329.6199522999814	3	IDS	1.4291440000233706	Filled	blue	Circle	Scene	1.0	Face
340.15379280000343	3	Stay	0.7942231000051834	Filled	blue	Circle	Scene	2.0	Scene
344.68803520000074	3	Stay	1.561201100004837	Filled	blue	Circle	Scene	1.0	Face
355.2223100999836	3	Stay	1.4274709000019357	Filled	blue	Circle	Scene	2.0	Scene
365.75728510000056	3	Stay	2.3414650000049733	Filled	blue	Circle	Scene	1.0	Scene
370.3069058999826	3	IDS	0.842327699996531	Filled	red	Circle	Face	2.0	Face
