onset	duration	trial_type	response_time	texture	color	shape	task	response	probe_pic
0.0002867000002879	3	Stay	1.3187752999947406	Filled	blue	Circle	Scene	1.0	Scene
4.544959299993933	3	Stay	0.7063243999873521	Filled	red	Circle	Scene	2.0	Face
9.080702499995825	3	Stay	0.926139500006684	Filled	blue	Circle	Scene	2.0	Face
13.62070610000228	3	EDS	0.9471310999942943	Donut	red	Circle	Face	2.0	Scene
19.64287029999832	3	IDS	0.7994563000102062	Donut	blue	Circle	Scene	1.0	Scene
27.15683320000244	3	Stay	1.3356516999920132	Donut	blue	Polygon	Scene	1.0	Face
33.202662399999106	3	Stay	0.657073099995614	Donut	blue	Circle	Scene	1.0	Scene
43.7322731000022	3	Stay	1.1116310999932466	Donut	blue	Circle	Scene	2.0	Face
49.74649279999721	3	Stay	1.9472014000057245	Donut	blue	Circle	Scene	1.0	Scene
58.761829099996255	3	Stay	0.7171004999981959	Donut	blue	Circle	Scene	1.0	Scene
67.77551870000025	3	IDS	1.2535168000031265	Donut	red	Circle	Face	1.0	Face
72.30665620000218	3	IDS	0.7236613999994006	Donut	blue	Polygon	Scene	1.0	Scene
76.83716520000598	3	IDS	0.9097236999950836	Donut	red	Circle	Face	1.0	Face
84.35197800000607	3	EDS	0.9792300999979489	Filled	blue	Polygon	Face	1.0	Face
90.3661823000002	3	Stay	1.2817145000008168	Filled	blue	Polygon	Face	2.0	Scene
94.8818356999982	3	Stay	0.7004333000077168	Filled	blue	Polygon	Face	1.0	Face
106.8954495999933	3	Stay	0.5709786000079475	Filled	red	Polygon	Face	1.0	Face
111.42576699999336	3	Stay	0.7246365000028163	Filled	red	Polygon	Face	1.0	Face
123.4558296000032	3	Stay	0.8802575000008801	Filled	blue	Polygon	Face	2.0	Face
130.98512490000576	3	EDS	1.1676785000017844	Donut	blue	Circle	Scene	2.0	Face
140.01523940000334	3	EDS	1.0383886000054192	Filled	blue	Circle	Scene	2.0	Face
147.56041049999476	3	Stay	1.2597595000115691	Filled	blue	Circle	Scene	2.0	Face
152.09164020000026	3	IDS	0.8965369000070496	Filled	red	Polygon	Face	2.0	Scene
162.62161489999562	3	EDS	0.9844048999948428	Donut	red	Polygon	Face	2.0	Scene
171.6507519000006	3	EDS	0.9384178999898722	Filled	blue	Polygon	Face	2.0	Scene
177.69704549999733	3	Stay	0.7263824999972712	Filled	red	Polygon	Face	2.0	Scene
182.22683400000096	3	IDS	1.3298987000016496	Filled	blue	Circle	Scene	1.0	Scene
192.7574225999997	3	Stay	1.1508670000039274	Filled	red	Circle	Scene	2.0	Face
197.287375800006	3	Stay	0.804152199998498	Filled	red	Circle	Scene	1.0	Scene
203.33421489999452	3	Stay	0.8084805999969831	Filled	red	Circle	Scene	1.0	Scene
210.8642165000056	3	Stay	0.7122935999941546	Filled	red	Circle	Scene	1.0	Scene
215.3952866000036	3	Stay	0.7320535000035306	Filled	red	Circle	Scene	2.0	Face
224.4246623000072	3	EDS	0.7531033000122989	Donut	blue	Polygon	Scene	1.0	Scene
228.9712472999963	3	Stay	0.6238812999945367	Donut	blue	Circle	Scene	1.0	Scene
239.5160009999963	3	IDS	0.8627817000087816	Donut	red	Polygon	Face	1.0	Face
251.545378099996	3	EDS	1.7180789999983972	Filled	red	Polygon	Face	2.0	Scene
256.0762484000006	3	IDS	1.0712706000049366	Filled	red	Circle	Scene	2.0	Face
268.1210204999952	3	EDS	1.7601710000017192	Donut	red	Polygon	Face	1.0	Face
272.6517082000064	3	Stay	0.5969122999958927	Donut	red	Polygon	Face	1.0	Face
277.18324250000296	3	EDS	2.0322559000051115	Filled	blue	Circle	Scene	2.0	Face
286.2062363000005	3	Stay	1.0622290999890538	Filled	blue	Circle	Scene	1.0	Scene
290.7435516999976	3	Stay	0.8410602000076324	Filled	blue	Circle	Scene	2.0	Face
295.31448830000585	3	EDS	1.6217880000040168	Donut	blue	Circle	Scene	2.0	Face
305.8792104000022	3	EDS	1.3589688999927605	Filled	red	Polygon	Face	1.0	Face
314.92525859999296	3	Stay	0.7378093000006629	Filled	red	Polygon	Face	1.0	Face
326.9592149999953	3	IDS	1.430870399999549	Filled	blue	Circle	Scene	2.0	Face
333.004657700003	3	IDS	0.9183919000060996	Filled	red	Polygon	Face	2.0	Scene
345.04854059999343	3	IDS	0.8414181999978609	Filled	blue	Circle	Scene	1.0	Scene
351.1065843999968	3	Stay	0.9731838999869068	Filled	red	Circle	Scene	1.0	Scene
361.6474250000029	3	Stay	0.8933879999967758	Filled	blue	Circle	Scene	2.0	Face
370.7032560999942	3	IDS	2.3688811999891186	Filled	blue	Polygon	Face	2.0	Scene
