onset	duration	trial_type	response_time	texture	color	shape	task	response	probe_pic
0.0225762000191025	3	Stay	1.9583533999975768	Donut	blue	Polygon	Face	1.0	Scene
4.525907600007487	3	IDS	0.7873534999671392	Donut	blue	Circle	Scene	2.0	Scene
9.042940200015437	3	IDS	0.9890127000398934	Donut	blue	Polygon	Face	1.0	Scene
13.560959000024011	3	Stay	0.8539182000095025	Donut	blue	Polygon	Face	2.0	Face
19.577349000028327	3	IDS	1.2709152000024917	Donut	blue	Circle	Scene	1.0	Face
31.59512480004924	3	Stay	1.1363878999836745	Donut	blue	Circle	Scene	1.0	Face
36.11161980003817	3	Stay	0.935540700040292	Donut	blue	Circle	Scene	2.0	Scene
43.62789669999621	3	IDS	1.0209525999962352	Donut	blue	Polygon	Face	2.0	Face
49.64600659999997	3	Stay	1.834472200018353	Donut	red	Polygon	Face	1.0	Scene
63.16411700000754	3	IDS	1.600342300022021	Donut	blue	Circle	Scene	2.0	Scene
69.18010680004954	3	IDS	0.8681677999556996	Donut	blue	Polygon	Face	1.0	Scene
73.7008230999927	3	IDS	2.229759400011972	Donut	red	Circle	Scene	2.0	Scene
82.71493290003855	3	Stay	1.9496900999802165	Donut	blue	Circle	Scene	1.0	Face
87.23130720003974	3	IDS	2.1513303999672644	Donut	red	Polygon	Face	1.0	Scene
96.24995950004086	3	EDS	1.514418000006117	Filled	blue	Polygon	Scene	1.0	Face
100.7676312000258	3	Stay	1.0143000000389293	Filled	blue	Polygon	Scene	1.0	Face
106.78311720001513	3	EDS	2.4653775000479072	Donut	blue	Polygon	Face	1.0	Face
115.80211849999614	3	IDS	1.3294144999817945	Donut	blue	Circle	Scene	1.0	Face
124.81909120001364	3	IDS	2.2959250999847427	Donut	blue	Polygon	Face	1.0	Scene
129.3380637000082	3	EDS	1.7614958000485783	Filled	blue	Polygon	Scene	2.0	Scene
141.35574319999432	3	IDS	1.0088190999813378	Filled	red	Polygon	Face	2.0	Face
145.87084390001837	3	EDS	2.0778446000185795	Donut	red	Polygon	Face	2.0	Face
150.39207780000288	3	Stay	0.9894692999660036	Donut	red	Polygon	Face	1.0	Scene
159.42268710001372	3	EDS	1.7259498999919742	Filled	blue	Polygon	Scene	2.0	Face
166.93914130004126	3	IDS	0.7757147999946028	Filled	red	Polygon	Face	2.0	Face
171.45999440003652	3	Stay	1.4390599000034854	Filled	red	Circle	Face	1.0	Scene
183.4938647000236	3	IDS	0.9878343000309542	Filled	blue	Circle	Scene	1.0	Face
188.02422260004096	3	Stay	1.0920550999580882	Filled	blue	Polygon	Scene	1.0	Scene
197.058884500002	3	IDS	1.0562919999938458	Filled	red	Circle	Face	2.0	Face
209.093154000002	3	Stay	0.9553869999945164	Filled	red	Circle	Face	2.0	Face
215.1256495999987	3	Stay	1.6063128999667242	Filled	red	Circle	Face	2.0	Face
219.66137270000763	3	IDS	2.3542497999733314	Filled	blue	Polygon	Scene	1.0	Face
231.69608330004849	3	Stay	0.836268300015945	Filled	blue	Circle	Scene	1.0	Face
237.7291217000456	3	IDS	1.7362078000442125	Filled	red	Polygon	Face	1.0	Scene
248.26284300000407	3	IDS	1.4018705000053158	Filled	blue	Polygon	Scene	2.0	Scene
252.7968089000205	3	Stay	1.985905000008643	Filled	blue	Polygon	Scene	1.0	Face
257.331861600047	3	EDS	1.4166220999904908	Donut	blue	Polygon	Face	1.0	Scene
263.36586910003103	3	EDS	1.5497453999705613	Filled	red	Circle	Face	2.0	Face
273.8986814999953	3	IDS	1.2499672999838367	Filled	blue	Circle	Scene	2.0	Scene
278.4316216000006	3	IDS	1.88380369998049	Filled	red	Polygon	Face	2.0	Face
285.9652956000064	3	EDS	1.5333664999925531	Donut	red	Polygon	Face	1.0	Scene
296.50111050001584	3	EDS	1.1802173999603838	Filled	red	Circle	Face	2.0	Face
304.03579049999826	3	Stay	0.8797386999940501	Filled	red	Circle	Face	2.0	Face
313.07167690002825	3	IDS	0.4102039000135846	Filled	blue	Circle	Scene	1.0	Face
322.1013015000499	3	EDS	1.3641972999903371	Donut	red	Circle	Scene	1.0	Face
328.14064430003054	3	Stay	1.8750577000319024	Donut	red	Circle	Scene	1.0	Face
341.67008090001764	3	EDS	1.7615439000073818	Filled	blue	Circle	Scene	2.0	Scene
347.70414200000226	3	Stay	1.3776641999720596	Filled	blue	Circle	Scene	2.0	Scene
355.2376570000197	3	IDS	1.4448201999766752	Filled	red	Circle	Face	2.0	Face
364.27194270002656	3	Stay	1.3600718000088818	Filled	red	Circle	Face	1.0	Scene
370.306618600036	3	EDS	1.2254847000003792	Donut	red	Circle	Scene	1.0	Face
