onset	duration	trial_type	response_time	texture	color	shape	task	response	probe_pic
0.0002690000692382	3	Stay	1.2395410999888554	Filled	blue	Polygon	Face	2.0	Scene
4.517030899995007	3	Stay	0.5892464999342337	Filled	red	Polygon	Face	2.0	Scene
9.033150700037368	3	Stay	0.5389277000213042	Filled	red	Polygon	Face	2.0	Scene
13.550162700004876	3	Stay	0.7228680000407621	Filled	blue	Polygon	Face	2.0	Scene
22.567987499991432	3	IDS	0.8707647999981418	Filled	red	Circle	Scene	1.0	Scene
28.58377480006311	3	Stay	0.8221312999958172	Filled	blue	Circle	Scene	1.0	Scene
33.10273779998533	3	Stay	0.6532003999454901	Filled	red	Circle	Scene	2.0	Face
43.61916880006903	3	Stay	1.054034600034356	Filled	blue	Circle	Scene	1.0	Scene
49.637250500032685	3	Stay	1.1022156999679282	Filled	red	Circle	Scene	1.0	Scene
54.15510680002625	3	Stay	0.7008930000010878	Filled	blue	Circle	Scene	2.0	Face
64.67191490007099	3	Stay	0.8334227999439463	Filled	blue	Circle	Scene	1.0	Scene
69.18906850006897	3	Stay	0.6836427000816911	Filled	blue	Circle	Scene	2.0	Face
73.70585310005117	3	Stay	0.5839051000075415	Filled	blue	Circle	Scene	2.0	Face
84.22336150007322	3	Stay	0.9159964999416844	Filled	blue	Circle	Scene	1.0	Scene
93.23998670000584	3	IDS	0.7153831999748945	Filled	blue	Polygon	Face	1.0	Face
99.25736440008042	3	IDS	0.9984449000330642	Filled	blue	Circle	Scene	1.0	Scene
105.29854470002464	3	EDS	0.9253254999639466	Donut	blue	Polygon	Scene	2.0	Face
112.82610170007683	3	IDS	0.8950185999274254	Donut	red	Circle	Face	1.0	Face
118.84306720003951	3	Stay	0.4950903999852017	Donut	red	Polygon	Face	1.0	Face
127.8610896000173	3	IDS	0.6438510000007227	Donut	blue	Circle	Scene	1.0	Scene
135.37718349997886	3	EDS	1.1963763999519872	Filled	red	Circle	Scene	1.0	Face
139.89501500001643	3	IDS	0.7112896000035107	Filled	blue	Polygon	Face	1.0	Scene
147.4118698000675	3	EDS	0.7934894999489188	Donut	blue	Circle	Scene	2.0	Face
156.4292586999945	3	EDS	1.5760955999139696	Filled	red	Circle	Scene	1.0	Scene
160.9451956000412	3	IDS	1.1772183999419212	Filled	blue	Polygon	Face	1.0	Scene
165.46296739997342	3	IDS	0.7770469000097364	Filled	blue	Circle	Scene	2.0	Face
177.48154950002208	3	EDS	0.7413260999601334	Donut	red	Polygon	Face	1.0	Face
182.0150135000004	3	Stay	0.5578032999765128	Donut	red	Polygon	Face	1.0	Face
186.5482636999804	3	IDS	0.8080574999330565	Donut	blue	Polygon	Scene	2.0	Face
192.5838548999745	3	Stay	0.6559118999866769	Donut	blue	Circle	Scene	1.0	Scene
204.6168942999793	3	EDS	1.0553976000519472	Filled	blue	Polygon	Face	2.0	Scene
213.65011649997905	3	EDS	0.7058968000346795	Donut	blue	Circle	Scene	2.0	Face
224.1850271000294	3	EDS	1.0218585000839084	Filled	red	Circle	Scene	1.0	Scene
234.718493900029	3	IDS	1.6377806999953464	Filled	blue	Polygon	Face	2.0	Face
242.25256439996883	3	EDS	0.9707823999924584	Donut	blue	Circle	Scene	2.0	Scene
248.2863821000792	3	Stay	0.7530338000506163	Donut	blue	Circle	Scene	2.0	Face
260.32102290005423	3	IDS	0.5021972000831738	Donut	red	Polygon	Face	1.0	Face
266.354718400049	3	IDS	0.6852594000520185	Donut	blue	Circle	Scene	2.0	Face
279.8991485000588	3	Stay	0.6903354999376461	Donut	blue	Polygon	Scene	2.0	Face
284.4386657000286	3	Stay	0.7842254000715911	Donut	blue	Polygon	Scene	1.0	Scene
294.9736038000556	3	Stay	0.7658251000102609	Donut	blue	Circle	Scene	2.0	Face
301.0067993000848	3	Stay	0.7659830999327824	Donut	blue	Polygon	Scene	2.0	Scene
305.5410470999778	3	Stay	0.8486925999168307	Donut	blue	Circle	Scene	1.0	Scene
313.0734503000276	3	EDS	1.916213999968022	Filled	blue	Circle	Scene	2.0	Face
317.61062190006487	3	Stay	0.7458688999759033	Filled	red	Circle	Scene	2.0	Face
322.1436820999952	3	EDS	0.6962861999636516	Donut	red	Circle	Face	1.0	Face
334.1768028000369	3	Stay	0.6951699999626726	Donut	red	Circle	Face	2.0	Scene
338.71063200000214	3	Stay	0.4624730999348685	Donut	red	Polygon	Face	1.0	Face
352.2427969999844	3	Stay	0.4977615000680089	Donut	red	Circle	Face	1.0	Face
356.7788726000581	3	Stay	0.5605076999636367	Donut	red	Circle	Face	2.0	Scene
370.3120765000349	3	EDS	1.4605073999846354	Filled	blue	Polygon	Face	2.0	Scene
