onset	duration	trial_type	response_time	texture	color	shape	task	response	probe_pic
0.0002779999922495	3	Stay	1.2602215000079011	Filled	blue	Circle	Scene	2.0	Scene
4.532723200012697	3	Stay	0.7266748999827541	Filled	blue	Circle	Scene	1.0	Face
9.025679899990791	3	IDS	1.6770867999875918	Filled	red	Circle	Face	1.0	Scene
13.522534099989567	3	Stay	0.6630779000115581	Filled	red	Circle	Face	1.0	Scene
18.02999000001	3	IDS	1.103450199996587	Filled	blue	Polygon	Scene	2.0	Scene
25.5650125000102	3	IDS	1.4253143000241837	Filled	red	Circle	Face	2.0	Face
36.06782799999928	3	Stay	0.6584318999957759	Filled	red	Circle	Face	1.0	Scene
45.087022499996245	3	IDS	0.9768218999961392	Filled	blue	Circle	Scene	2.0	Scene
51.08215490001022	3	IDS	1.0892113000154495	Filled	red	Circle	Face	1.0	Scene
61.59230439999374	3	IDS	1.3999091000005135	Filled	blue	Circle	Scene	1.0	Face
66.12349269998958	3	EDS	0.9109505000233185	Donut	red	Polygon	Face	2.0	Face
70.64405470000929	3	Stay	1.2924290999944787	Donut	red	Polygon	Face	2.0	Face
82.63326410000445	3	IDS	1.877285299997311	Donut	red	Circle	Scene	2.0	Scene
87.14674510000624	3	IDS	1.8672115000081249	Donut	blue	Polygon	Face	1.0	Scene
100.6819652999984	3	Stay	1.0981626999855507	Donut	blue	Polygon	Face	2.0	Face
106.69506759999788	3	IDS	1.2321045999997295	Donut	blue	Circle	Scene	1.0	Face
111.22724700000256	3	EDS	1.0679214999836404	Filled	blue	Circle	Scene	1.0	Face
123.26026229999844	3	IDS	0.8862278999877162	Filled	red	Circle	Face	2.0	Face
127.79264749999857	3	Stay	0.5859732999815606	Filled	red	Circle	Face	2.0	Face
132.33434850000776	3	Stay	1.3569846999889703	Filled	red	Polygon	Face	1.0	Scene
145.87216359999732	3	EDS	1.8933668000099717	Donut	red	Polygon	Face	1.0	Scene
150.4023412000097	3	EDS	0.8784911000111606	Filled	red	Circle	Face	1.0	Scene
162.43500009999843	3	IDS	1.4763070999761112	Filled	blue	Polygon	Scene	1.0	Face
168.43601320000016	3	Stay	1.213882099982584	Filled	blue	Circle	Scene	1.0	Face
180.46664030000105	3	Stay	1.416706999996677	Filled	blue	Circle	Scene	2.0	Scene
185.00717890000664	3	EDS	1.56831990001956	Donut	blue	Circle	Scene	1.0	Face
191.03784060000908	3	IDS	1.537435899983393	Donut	red	Polygon	Face	1.0	Scene
198.5632857999881	3	IDS	1.2892337999946903	Donut	red	Circle	Scene	2.0	Scene
209.10333780001383	3	IDS	1.908258000010392	Donut	red	Polygon	Face	1.0	Scene
215.1181206000037	3	EDS	1.194567200000165	Filled	red	Circle	Face	1.0	Scene
224.1433868999884	3	Stay	2.0435514000128023	Filled	red	Circle	Face	1.0	Scene
231.6759179999936	3	Stay	0.8122059000015724	Filled	red	Circle	Face	2.0	Face
237.6974854999862	3	EDS	n/a	Donut	red	Circle	Scene	n/a	Scene
243.71634300000733	3	Stay	0.9233128000050784	Donut	red	Circle	Scene	1.0	Face
254.25539979999303	3	EDS	0.9511516999918967	Filled	red	Circle	Face	1.0	Scene
263.29404000000795	3	Stay	0.6641120999993291	Filled	red	Circle	Face	1.0	Scene
267.8141562000092	3	Stay	1.6080944999994244	Filled	red	Circle	Face	1.0	Scene
276.86265060000005	3	IDS	n/a	Filled	blue	Polygon	Scene	n/a	Scene
281.38971600000514	3	Stay	0.7019766999874264	Filled	blue	Circle	Scene	1.0	Face
287.4150104	3	EDS	1.6624976999883074	Donut	red	Circle	Scene	1.0	Face
299.4590862999903	3	EDS	1.3318804999871643	Filled	blue	Polygon	Scene	2.0	Scene
303.99389419998624	3	Stay	0.6581689000013284	Filled	blue	Polygon	Scene	2.0	Scene
314.53898919999483	3	EDS	1.291229900001781	Donut	blue	Polygon	Face	2.0	Face
322.0965851999936	3	Stay	0.7019788000034168	Donut	blue	Polygon	Face	1.0	Scene
328.14406520000193	3	Stay	0.630912199994782	Donut	blue	Polygon	Face	2.0	Face
334.1832543000055	3	IDS	1.2065004000032786	Donut	red	Circle	Scene	1.0	Face
338.73017450000043	3	Stay	1.3378465000132564	Donut	blue	Circle	Scene	2.0	Scene
349.29384369999747	3	EDS	1.1878892999957316	Filled	blue	Circle	Scene	2.0	Scene
353.8405457999906	3	IDS	1.3444461000035517	Filled	red	Circle	Face	1.0	Scene
361.37712759998976	3	Stay	1.64085750002414	Filled	red	Circle	Face	1.0	Scene
370.4336853999994	3	Stay	1.584256500005722	Filled	red	Polygon	Face	2.0	Face
